PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023684,75006952,TEREA PURPLE CAJETILLA PZ,10 Coahuila-Tamaulipas,400 Coahuila (Saltillo),M400,C40003,672,Ex Hacienda Los Rdz,0,0,0.21,13.49,36,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000085,7.7072E+12,VUSE GO 700 BLUEBERRY ICE 34 MG 1 PZ,10 Coahuila-Tamaulipas,400 Coahuila (Saltillo),M400,C40003,672,Ex Hacienda Los Rdz,1,129.31,1.43,107.14,75,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",062 RRPs (Vapor y tabaco calentado),100023680,75032777,TEREA BLACK GREEN CAJETILLA PZ,10 Coahuila-Tamaulipas,400 Coahuila (Saltillo),M400,C40003,672,Ex Hacienda Los Rdz,0,0,0.36,22.48,81,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100023891,7.50303E+12,MARLBORO SUMMER FUSION MNT LATA DISCO 24 MARLBORO SUMMER LATA 24 DISCO CAJETILLA PZ,10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M101,C10103,701,Villanueva,0,0,0.36,24.14,7,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100023361,7.50303E+12,MARLBORO  MARLBORO CRAFTED 2.0 GOLD KS BOX 20 STD - VAO CAJETILLA PZ,10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M101,C10101,742,Circuito Independencia,0,0,0.18,10.91,39,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000081,7.7023E+12,VUSE VIVID MINT ICE 18 MG 1 PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30102,574,Expropiación,0,0,0.18,23.09,25,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000088,7.7023E+12,VUSE GO 700 MANGO ICE 34 MG 1 PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30102,574,Expropiación,0,0,0.5,34.48,45,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100021048,75005481,LM LM 25S 25S 1 CAJETILLA,30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30102,574,Expropiación,0,0,1.18,57.91,69,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000088,7.7023E+12,VUSE GO 700 MANGO ICE 34 MG 1 PZ,50 Nuevo León,500 Nuevo León,M505,C50507,614,Barcelona,0,0,0.61,41.87,59,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100005585,75052836,PALL MALL TOKYO MIDNIGHT 20,30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30110,650,Simon Bolivar,0,0,1.61,101.14,36,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000082,7.7023E+12,VUSE VIVID STRAWBERRY ICE 18 MG 1 PZ,20 México,200 México,M204,C20404,1110,IPN,0,0,0.32,41.56,69,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000082,7.7023E+12,VUSE VIVID STRAWBERRY ICE 18 MG 1 PZ,20 México,200 México,M203,C20303,878,Picacho,0,0,0.21,27.71,25,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023714,75080105,LUCKY STRIKE LATA CLÁSICA RED 20 PZ,20 México,200 México,M203,C20303,878,Picacho,0,0,0.32,18.29,48,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100014850,4.0331E+12,"WINSTON CLASSIC 25S		",10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M103,C10305,1148,Coahuila,0,0,0.11,7.14,27,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100011671,75063771,CHESTERFIELD REMIX PASSION,10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M103,C10305,1148,Coahuila,0,0,0.04,2.18,66,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100011672,75063801,MARLBORO CRAFTED ICE MIX,30 Jalisco-Baja California-Sonora,300 Jalisco,M301,C30107,786,Jesus Garcia,0,0,0.43,22.54,16,DESABASTO
